#Energy range (GeV)	〈E〉 (GeV)	Acceptance (m2×sr)	Counts	Background fraction	Φ (e+ + e-)±σstat±σsys
24.0     27.5     25.7     0.3     0.256     0.007     377469          2.6     0.3          1.16e-2     0.00e-2     0.03e-2
27.5     31.6     29.5     0.4     0.259     0.007     279458          2.5     0.3          7.38e-3     0.02e-3     0.19e-3
31.6     36.3     33.9     0.4     0.261     0.007     208809          2.4     0.2          4.76e-3     0.02e-3     0.13e-3
36.3     41.7     38.9     0.5     0.264     0.007     156489          2.4     0.2          3.08e-3     0.01e-3     0.08e-3
41.7     47.9     44.6     0.6     0.266     0.007     117246          2.3     0.2          2.00e-3     0.01e-3     0.05e-3
47.9     55.0     51.2     0.6     0.269     0.007     87259          2.3     0.2          1.28e-3     0.01e-3     0.03e-3
55.0     63.1     58.8     0.7     0.272     0.007     65860          2.2     0.2          8.32e-4     0.04e-4     0.21e-4
63.1     72.4     67.6     0.8     0.275     0.007     49600          2.1     0.2          5.42e-4     0.03e-4     0.13e-4
72.4     83.2     77.6     1.0     0.277     0.007     37522          2.1     0.2          3.54e-4     0.02e-4     0.09e-4
83.2     95.5     89.1     1.1     0.279     0.007     28325          2.1     0.1          2.31e-4     0.01e-4     0.06e-4
95.5     109.7     102.2     1.3     0.283     0.007     21644          2.0     0.1          1.52e-4     0.01e-4     0.04e-4
109.7     125.9     117.4     1.5     0.282     0.007     16319          2.0     0.1          1.00e-4     0.01e-4     0.02e-4
125.9     144.5     134.8     1.7     0.286     0.007     12337          2.0     0.1          6.49e-5     0.06e-5     0.16e-5
144.5     166.0     154.8     1.9     0.287     0.007     9079          2.0     0.1          4.14e-5     0.04e-5     0.10e-5
166.0     190.6     177.7     2.2     0.288     0.007     7007          1.9     0.1          2.78e-5     0.03e-5     0.07e-5
190.6     218.8     204.0     2.6     0.288     0.007     5256          2.0     0.1          1.81e-5     0.03e-5     0.05e-5
218.8     251.2     234.2     2.9     0.290     0.007     4002          1.9     0.1          1.20e-5     0.02e-5     0.03e-5
251.2     288.4     268.9     3.4     0.291     0.007     2926          2.0     0.2          7.59e-6     0.14e-6     0.19e-6
288.4     331.1     308.8     3.9     0.291     0.007     2136          2.1     0.2          4.81e-6     0.11e-6     0.12e-6
331.1     380.2     354.5     4.4     0.290     0.007     1648          2.1     0.2          3.25e-6     0.08e-6     0.08e-6
380.2     436.5     407.1     5.1     0.292     0.007     1240          2.0     0.2          2.12e-6     0.06e-6     0.05e-6
436.5     501.2     467.4     5.8     0.291     0.007     889          2.2     0.2          1.32e-6     0.05e-6     0.03e-6
501.2     575.4     536.6     6.7     0.289     0.007     650          2.2     0.2          8.49e-7     0.34e-7     0.21e-7
575.4     660.7     616.1     7.7     0.288     0.007     536          2.0     0.2          6.13e-7     0.27e-7     0.15e-7
660.7     758.6     707.4     8.8     0.285     0.007     390          2.0     0.2          3.92e-7     0.20e-7     0.10e-7
758.6     871.0     812.2     10.2     0.284     0.007     271          2.3     0.3          2.38e-7     0.15e-7     0.06e-7
871.0     1000.0     932.5     11.7     0.278     0.008     195          2.3     0.3          1.52e-7     0.11e-7     0.04e-7
1000.0     1148.2     1070.7     13.4     0.276     0.008     136          2.6     0.4          9.29e-8     0.82e-8     0.27e-8
1148.2     1318.3     1229.3     15.4     0.274     0.009     74          3.6     0.5          4.38e-8     0.53e-8     0.14e-8
1318.3     1513.6     1411.4     17.6     0.267     0.009     93          2.2     0.4          4.99e-8     0.53e-8     0.17e-8
1513.6     1737.8     1620.5     20.3     0.263     0.010     33          5.0     0.9          1.52e-8     0.28e-8     0.06e-8
1737.8     1995.3     1860.6     23.3     0.255     0.011     26          5.4     0.9          1.07e-8     0.22e-8     0.05e-8
1995.3     2290.9     2136.3     26.7     0.249     0.012     17          5.8     0.9          6.24e-9     1.61e-9     0.30e-9
2290.9     2630.3     2452.8     30.7     0.243     0.014     12          7.9     1.1          3.84e-9     1.20e-9     0.21e-9
2630.3     3019.9     2816.1     35.2     0.233     0.015     4          18.2     2.5          1.03e-9     0.63e-9     0.07e-9
3019.9     3467.4     3233.4     40.4     0.227     0.017     4          15.4     2.4          9.53e-10     5.64e-10  0.70e-10
3467.4     3981.1     3712.4     46.4     0.218     0.018     4          11.2     2.6          9.07e-10     5.12e-10 0.77e-10
3981.1     4570.9     4262.4     53.3     0.210     0.020     3          11.4     4.0          6.15e-10     4.02e-10  0.60e-10
